station,lat,lon,LCZ,altitude,buffer_radius,clouds,Artificial surfaces and constructions,Cultivated areas,Vineyards,Broadleaf tree cover,Coniferious tree cover,Herbaceous vegetation,Moors and heathland,Sclerophyllous vegetation,Marshes,Peatbogs,Natural material surfaces,Permanent snow covered surfaces,Water bodies,No data
station1,51.1226,4.3665,"LCZ-8, large lowrise",17.322355270385742,500,0.0,0.3005837784126196,0.16196745745870078,0.0,0.034157247546888585,0.012172400943982115,0.2700285678797665,0.16184324928580301,0.0,0.02720158986461309,0.0,0.024469010060862006,0.0,0.0075766985467643775,0.0
station1,51.1226,4.3665,"LCZ-8, large lowrise",17.322355270385742,250,0.0,0.301987396994668,0.02035870092098885,0.0,0.029083858458555503,0.007755695588948134,0.4285021812893844,0.18419777023751818,0.0,0.013572467280659235,0.0,0.014057198254968492,0.0,0.0004847309743092584,0.0
station1,51.1226,4.3665,"LCZ-8, large lowrise",17.322355270385742,100,0.0,0.38935574229691877,0.01680672268907563,0.0,0.008403361344537815,0.0,0.27450980392156865,0.29971988795518206,0.0,0.011204481792717087,0.0,0.0,0.0,0.0,0.0
station1,51.1226,4.3665,"LCZ-8, large lowrise",17.322355270385742,50,0.0,0.45454545454545453,0.04040404040404041,0.0,0.0,0.0,0.21212121212121213,0.26262626262626265,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
station1,51.1226,4.3665,"LCZ-8, large lowrise",17.322355270385742,20,0.0,0.34782608695652173,0.08695652173913043,0.0,0.0,0.0,0.21739130434782608,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VonRoll PH,46.9529,7.4225,"LCZ-8, large lowrise",562.1155395507812,500,0.0,0.617881124098483,0.010693857249440438,0.08691867694603332,0.12944541158915693,0.08517781646356627,0.021636408853519026,0.012434717731907486,0.0,0.033573737876150214,0.000870430241233524,0.0,0.0,0.0013678189505098234,0.0
VonRoll PH,46.9529,7.4225,"LCZ-8, large lowrise",562.1155395507812,250,0.0,0.6728065923412506,0.004847309743092583,0.043141056713523994,0.13475521085797382,0.07755695588948133,0.00290838584585555,0.011148812409112942,0.0,0.0523509452253999,0.0004847309743092584,0.0,0.0,0.0,0.0
VonRoll PH,46.9529,7.4225,"LCZ-8, large lowrise",562.1155395507812,100,0.0,0.8721590909090909,0.0,0.019886363636363636,0.022727272727272728,0.0,0.0,0.014204545454545454,0.0,0.07102272727272728,0.0,0.0,0.0,0.0,0.0
VonRoll PH,46.9529,7.4225,"LCZ-8, large lowrise",562.1155395507812,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VonRoll PH,46.9529,7.4225,"LCZ-8, large lowrise",562.1155395507812,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
